antecedent,consequent,support,confidence,lift
"WIND=NW, WIND_SPD=High",PM25=Good,0.12269532676159182,0.752870344441333,2.6380259034778106
"DEWP=Low, WIND_SPD=High",PM25=Good,0.10300292077400511,0.6914828431372549,2.4229266904651046
"PRES=High, WIND_SPD=High",PM25=Good,0.0790890836071559,0.6801412872841445,2.383186357554997
"TIME=Afternoon, WIND=NW",PM25=Good,0.04757667031763417,0.6736672051696284,2.3605014471379064
"DEWP=Low, WIND=NW",PM25=Good,0.11286053304125593,0.6395138350142229,2.2408294799442956
"SEASON=Winter, WIND_SPD=High",PM25=Good,0.05647590361445783,0.6382155750386796,2.236280431797801
"TIME=Evening, WIND=NW",PM25=Good,0.030394304490690034,0.6327790973871734,2.2172312436152146
"TEMP=Low, WIND_SPD=High",PM25=Good,0.07123950346841913,0.6300706357214935,2.2077409082800616
"PRES=High, WIND=NW",PM25=Good,0.08810240963855422,0.6160842508377214,2.1587332061015676
"DEWP=Low, SEASON=Autumn",PM25=Good,0.027792990142387734,0.6065737051792829,2.125408655615007
"DEWP=Low, TEMP=Med",PM25=Good,0.048671960569550934,0.5954773869346734,2.0865276249320486
"SEASON=Autumn, WIND_SPD=High",PM25=Good,0.037353961299744436,0.5909747292418773,2.0707505024623036
"SEASON=Spring, WIND=NW",PM25=Good,0.04232840452719971,0.5624620982413584,1.970843447135947
"TIME=Morning, WIND_SPD=High",PM25=Good,0.03591639284410369,0.5603417586329655,1.9634138666611562
"TEMP=Med, WIND=NW",PM25=Good,0.06133625410733844,0.5527452190006169,1.9367959124876497
"SEASON=Winter, WIND=NW",PM25=Good,0.06238590726542534,0.544187898089172,1.906811421272877
"DEWP=Low, WIND=NE",PM25=Good,0.024575575027382255,0.5425692695214106,1.9011398151040457
"DEWP=Low, SEASON=Spring",PM25=Good,0.045637093829864916,0.5402485143165857,1.8930079868401737
"RAIN=No, WIND=NW",PM25=Good,0.16490963855421686,0.5350558969423262,1.874813274774167
"SNOW=No, WIND=NW",PM25=Good,0.17029481562614093,0.5296288411042509,1.8557971002280875
