antecedent,consequent,support,confidence,lift
"DEWP=Med, SEASON=Winter, WIND_SPD=Low",PM25=Hazardous,0.0069596568090544,0.5798479087452472,8.202470869222632
"DEWP=Med, SEASON=Winter, SNOW=No",PM25=Hazardous,0.011751551661190216,0.532574974146846,7.533752636220587
"DEWP=Med, RAIN=No, SEASON=Winter",PM25=Hazardous,0.012527382256297919,0.4950405770964833,7.002794787177626
"DEWP=Med, SEASON=Winter",PM25=Hazardous,0.012573019350127784,0.4910873440285205,6.946872745224623
"DEWP=Med, PRES=High, SEASON=Winter",PM25=Hazardous,0.00762139466958744,0.48126801152737747,6.8079694438914755
"DEWP=Med, SEASON=Winter, TEMP=Low",PM25=Hazardous,0.01113545089448704,0.4728682170542636,6.689146786373805
"DEWP=Med, TEMP=Low, WIND_SPD=Low",PM25=Hazardous,0.011683096020445418,0.33706385780118503,4.76807182191063
"DEWP=Med, TEMP=Low, WIND=cv",PM25=Hazardous,0.006434830230010953,0.3157894736842105,4.467126499269478
"SEASON=Winter, TIME=Night, WIND_SPD=Low",PM25=Hazardous,0.00807776560788609,0.3059636992221262,4.328132070597308
"DEWP=Med, TEMP=Low, TIME=Night",PM25=Hazardous,0.008693866374589266,0.3,4.243770174306004
"DEWP=Med, PRES=Med, TEMP=Low",PM25=Hazardous,0.00928714859437751,0.2957848837209302,4.184143558484844
"DEWP=Med, TEMP=Low, WIND_SPD=Med",PM25=Hazardous,0.006548922964585615,0.289606458123108,4.096744164230821
"DEWP=Med, SNOW=No, TEMP=Low",PM25=Hazardous,0.01873402701715955,0.28339661719019676,4.0089003717699105
"DEWP=Med, RAIN=No, TEMP=Low",PM25=Hazardous,0.019418583424607522,0.28263035536366654,3.9980609081527834
"DEWP=Med, TEMP=Low",PM25=Hazardous,0.019555494706097114,0.27574002574002576,3.900590990326304
"DEWP=Med, TEMP=Low, WIND=NW",PM25=Hazardous,0.006320737495436291,0.2591206735266604,3.6654952861950827
"DEWP=Med, PRES=High, TEMP=Low",PM25=Hazardous,0.008785140562248996,0.24838709677419357,3.5136591765759393
"PRES=Med, TEMP=Low, WIND_SPD=Low",PM25=Hazardous,0.008944870390653524,0.24685138539042825,3.491935156020054
"TEMP=Low, TIME=Night, WIND_SPD=Low",PM25=Hazardous,0.010930083972252647,0.24463738508682328,3.46061612783891
"RAIN=No, SEASON=Winter, WIND_SPD=Low",PM25=Hazardous,0.01830047462577583,0.232733604178758,3.2922264265751746
"SEASON=Winter, WIND_SPD=Low",PM25=Hazardous,0.01830047462577583,0.23253116845462454,3.289362790947536
"SEASON=Winter, TEMP=Low, WIND_SPD=Low",PM25=Hazardous,0.017570281124497992,0.23123123123123124,3.270974008223847
"SEASON=Winter, SNOW=No, WIND_SPD=Low",PM25=Hazardous,0.017638736765242788,0.22971768202080234,3.2495634915686384
"PRES=Med, TEMP=Low, TIME=Night",PM25=Hazardous,0.007096568090543994,0.22968980797636632,3.2491691881072557
"PRES=High, SEASON=Winter, WIND_SPD=Low",PM25=Hazardous,0.012527382256297919,0.2198638366039247,3.1101719739607474
"RAIN=No, SEASON=Winter, WIND=cv",PM25=Hazardous,0.010542168674698794,0.2194774346793349,3.1047059707511853
"SEASON=Winter, WIND=cv",PM25=Hazardous,0.010542168674698794,0.21937321937321935,3.1032317513918546
"SEASON=Winter, SNOW=No, WIND=cv",PM25=Hazardous,0.010245527564804673,0.217644207464857,3.078773320832761
"SEASON=Winter, TEMP=Low, WIND=cv",PM25=Hazardous,0.009926067907995618,0.21641791044776118,3.061426245146122
"DEWP=Med, SEASON=Autumn, TEMP=Low",PM25=Hazardous,0.00641201168309602,0.21632024634334104,3.0600446984346603
"SEASON=Winter, WIND=cv, WIND_SPD=Low",PM25=Hazardous,0.008853596202993794,0.21615598885793874,3.057721128376471
"DEWP=Med, PRES=High, WIND_SPD=Low",PM25=Hazardous,0.006936838262139467,0.20907840440165062,2.957602322304047
"PRES=High, SEASON=Winter, WIND=cv",PM25=Hazardous,0.007005293902884264,0.20493991989319094,2.8990597318912847
"PRES=High, TIME=Night, WIND_SPD=Low",PM25=Hazardous,0.007073749543629062,0.20248203788373612,2.864290777345659
"RAIN=No, TEMP=Low, WIND_SPD=Low",PM25=Hazardous,0.023434647681635633,0.2024443130297654,2.8637571253119556
"TEMP=Low, WIND_SPD=Low",PM25=Hazardous,0.023503103322380432,0.20184205369390557,2.8552376246228914
"PRES=Med, TEMP=Low, WIND=cv",PM25=VeryUnhealthy,0.006297918948521358,0.2866043613707165,2.038654363368005
"PRES=Low, TIME=Morning, WIND=SE",PM25=VeryUnhealthy,0.006548922964585615,0.2850049652432969,2.0272776492164004
"DEWP=Med, PRES=Med, TEMP=Low",PM25=VeryUnhealthy,0.008899233296823659,0.28343023255813954,2.0160763693601536
